tau,t,y,v
0.1,0,1,0
0.1,0.1,0.995012,-0.0997506
0.1,0.2,0.9801,-0.198506
0.1,0.3,0.95541,-0.295282
0.1,0.4,0.921191,-0.389112
0.1,0.5,0.877782,-0.47906
0.1,0.6,0.825617,-0.56423
0.1,0.7,0.765217,-0.643772
0.1,0.8,0.697184,-0.716892
0.1,0.9,0.622196,-0.782861
0.1,1,0.541002,-0.841021
0.1,1.1,0.454412,-0.890792
0.1,1.2,0.363288,-0.931677
0.1,1.3,0.268541,-0.963268
0.1,1.4,0.171115,-0.985251
0.1,1.5,0.0719821,-0.997406
0.1,1.6,-0.0278687,-0.999612
0.1,1.7,-0.127442,-0.991846
0.1,1.8,-0.225743,-0.974187
0.1,1.9,-0.321793,-0.94681
0.1,2,-0.414633,-0.909989
0.1,2.1,-0.503337,-0.86409
0.1,2.2,-0.58702,-0.809572
0.1,2.3,-0.664848,-0.746979
0.1,2.4,-0.736043,-0.676934
0.1,2.5,-0.799897,-0.600137
0.1,2.6,-0.855772,-0.517354
0.1,2.7,-0.90311,-0.42941
0.1,2.8,-0.941439,-0.337182
0.1,2.9,-0.970378,-0.241592
0.1,3,-0.989637,-0.143591
0.1,3.1,-0.999025,-0.0441578
0.1,3.2,-0.998447,0.0557158
0.1,3.3,-0.987909,0.155034
0.1,3.4,-0.967517,0.252805
0.1,3.5,-0.937474,0.348055
0.1,3.6,-0.89808,0.439832
0.1,3.7,-0.849727,0.527223
0.1,3.8,-0.792898,0.609354
0.1,3.9,-0.72816,0.685407
0.1,4,-0.656159,0.754623
0.1,4.1,-0.577612,0.816311
0.1,4.2,-0.493304,0.869857
0.1,4.3,-0.404075,0.914726
0.1,4.4,-0.310815,0.95047
0.1,4.5,-0.214455,0.976734
0.1,4.6,-0.115955,0.993254
0.1,4.7,-0.0162991,0.999867
0.1,4.8,0.0835196,0.996506
0.1,4.9,0.182505,0.983205
0.1,5,0.27967,0.960096
0.1,5.1,0.374046,0.92741
0.1,5.2,0.46469,0.885474
0.1,5.3,0.550699,0.834704
0.1,5.4,0.631214,0.775609
0.1,5.5,0.705433,0.708776
0.1,5.6,0.772616,0.634874
0.1,5.7,0.832092,0.554638
0.1,5.8,0.883267,0.46887
0.1,5.9,0.925632,0.378425
0.1,6,0.958763,0.284206
0.1,6.1,0.982331,0.187151
0.1,6.2,0.9961,0.0882294
0.1,6.3,0.999933,-0.0115723
0.1,6.4,0.993791,-0.111259
0.1,6.5,0.977737,-0.209835
0.1,6.6,0.951929,-0.306318
0.1,6.7,0.916626,-0.399746
