tau,t,y,v
0.1,0,1,0
0.1,0.1,0.990099,-0.0990099
0.1,0.2,0.970493,-0.196059
0.1,0.3,0.941472,-0.290206
0.1,0.4,0.903418,-0.380548
0.1,0.5,0.856795,-0.466228
0.1,0.6,0.802151,-0.546443
0.1,0.7,0.740105,-0.620453
0.1,0.8,0.671346,-0.687588
0.1,0.9,0.596621,-0.74725
0.1,1,0.516729,-0.798923
0.1,1.1,0.432512,-0.842174
0.1,1.2,0.344846,-0.876659
0.1,1.3,0.254634,-0.902122
0.1,1.4,0.162793,-0.918401
0.1,1.5,0.0702508,-0.925427
0.1,1.6,-0.0220711,-0.923219
0.1,1.7,-0.11326,-0.911893
0.1,1.8,-0.202426,-0.891651
0.1,1.9,-0.288704,-0.86278
0.1,2,-0.371269,-0.825654
0.1,2.1,-0.449341,-0.78072
0.1,2.2,-0.522191,-0.7285
0.1,2.3,-0.589149,-0.669585
0.1,2.4,-0.649612,-0.604624
0.1,2.5,-0.703044,-0.53432
0.1,2.6,-0.748986,-0.459421
0.1,2.7,-0.787058,-0.380716
0.1,2.8,-0.81696,-0.29902
0.1,2.9,-0.838477,-0.215172
0.1,3,-0.851479,-0.130024
0.1,3.1,-0.855922,-0.0444318
0.1,3.2,-0.851847,0.0407529
0.1,3.3,-0.839378,0.124691
0.1,3.4,-0.818722,0.206563
0.1,3.5,-0.790164,0.285579
0.1,3.6,-0.754065,0.360986
0.1,3.7,-0.710858,0.432072
0.1,3.8,-0.66104,0.498176
0.1,3.9,-0.605171,0.558693
0.1,4,-0.543863,0.613079
0.1,4.1,-0.477778,0.660857
0.1,4.2,-0.407616,0.701618
0.1,4.3,-0.334113,0.73503
0.1,4.4,-0.258029,0.760833
0.1,4.5,-0.180145,0.778847
0.1,4.6,-0.101248,0.788972
0.1,4.7,-0.0221291,0.791185
0.1,4.8,0.0564251,0.785542
0.1,4.9,0.133643,0.772178
0.1,5,0.208773,0.751301
0.1,5.1,0.281092,0.723191
0.1,5.2,0.349912,0.6882
0.1,5.3,0.414586,0.646742
0.1,5.4,0.474515,0.59929
0.1,5.5,0.529153,0.546375
0.1,5.6,0.57801,0.488574
0.1,5.7,0.620661,0.426508
0.1,5.8,0.656744,0.360833
0.1,5.9,0.685968,0.292236
0.1,6,0.70811,0.221425
0.1,6.1,0.723023,0.149123
0.1,6.2,0.730629,0.0760603
0.1,6.3,0.730926,0.00296772
0.1,6.4,0.723983,-0.0694305
0.1,6.5,0.70994,-0.140425
0.1,6.6,0.689008,-0.209325
0.1,6.7,0.66146,-0.275471
0.1,6.8,0.627637,-0.338235
0.1,6.9,0.587934,-0.397028
0.1,7,0.542803,-0.451309
0.1,7.1,0.492745,-0.500583
0.1,7.2,0.438303,-0.544414
0.1,7.3,0.380062,-0.58242
0.1,7.4,0.318633,-0.614283
0.1,7.5,0.254658,-0.639749
0.1,7.6,0.188795,-0.658628
0.1,7.7,0.121715,-0.6708
0.1,7.8,0.0540945,-0.676209
0.1,7.9,-0.0133925,-0.67487
0.1,8,-0.0800787,-0.666862
0.1,8.1,-0.145312,-0.652331
0.1,8.2,-0.20846,-0.631485
0.1,8.3,-0.26892,-0.604593
0.1,8.4,-0.326118,-0.571981
0.1,8.5,-0.379521,-0.534029
0.1,8.6,-0.428637,-0.491166
0.1,8.7,-0.473024,-0.443863
0.1,8.8,-0.512287,-0.392634
0.1,8.9,-0.54609,-0.338026
0.1,9,-0.574151,-0.28061
0.1,9.1,-0.596249,-0.220986
0.1,9.2,-0.612225,-0.159763
0.1,9.3,-0.621982,-0.0975648
0.1,9.4,-0.625484,-0.0350165
0.1,9.5,-0.622758,0.0272593
0.1,9.6,-0.613893,0.0886486
0.1,9.7,-0.599038,0.148552
0.1,9.8,-0.578398,0.206392
0.1,9.9,-0.552237,0.261616
0.1,10,-0.520867,0.313703
0.1,10.1,-0.48465,0.362168
0.1,10.2,-0.443993,0.406567
0.1,10.3,-0.399343,0.446501
0.1,10.4,-0.351181,0.481619
0.1,10.5,-0.300019,0.511621
0.1,10.6,-0.246393,0.53626
0.1,10.7,-0.190858,0.555346
0.1,10.8,-0.133984,0.568745
0.1,10.9,-0.0763459,0.576379
0.1,11,-0.0185228,0.578231
0.1,11.1,0.0389113,0.57434
0.1,11.2,0.0953914,0.564801
0.1,11.3,0.150368,0.549764
0.1,11.4,0.203311,0.529433
0.1,11.5,0.253717,0.504062
0.1,11.6,0.301112,0.47395
0.1,11.7,0.345057,0.439445
0.1,11.8,0.38515,0.40093
0.1,11.9,0.421032,0.358826
0.1,12,0.452391,0.313587
0.1,12.1,0.47896,0.265691
0.1,12.2,0.500524,0.215639
0.1,12.3,0.516919,0.163947
0.1,12.4,0.528033,0.111144
0.1,12.5,0.53381,0.0577627
0.1,12.6,0.534243,0.00433837
0.1,12.7,0.529383,-0.0486
0.1,12.8,0.51933,-0.100533
0.1,12.9,0.504234,-0.150956
0.1,13,0.484296,-0.199386
0.1,13.1,0.45976,-0.245362
0.1,13.2,0.430914,-0.288453
0.1,13.3,0.398088,-0.328262
0.1,13.4,0.361645,-0.364427
0.1,13.5,0.321983,-0.396625
0.1,13.6,0.279525,-0.424578
0.1,13.7,0.23472,-0.44805
0.1,13.8,0.188035,-0.466853
0.1,13.9,0.13995,-0.480848
0.1,14,0.0909557,-0.489944
0.1,14.1,0.0415459,-0.494098
0.1,14.2,-0.00778607,-0.49332
0.1,14.3,-0.0565525,-0.487664
0.1,14.4,-0.104276,-0.477237
0.1,14.5,-0.150495,-0.462187
0.1,14.6,-0.194766,-0.442711
0.1,14.7,-0.23667,-0.419044
0.1,14.8,-0.275817,-0.391462
0.1,14.9,-0.311844,-0.360278
0.1,15,-0.344428,-0.325835
0.1,15.1,-0.373278,-0.288507
0.1,15.2,-0.398148,-0.248692
0.1,15.3,-0.418829,-0.206809
0.1,15.4,-0.435158,-0.163293
0.1,15.5,-0.447017,-0.118592
0.1,15.6,-0.454333,-0.0731585
0.1,15.7,-0.457078,-0.0274507
0.1,15.8,-0.45527,0.0180764
0.1,15.9,-0.448973,0.0629737
0.1,16,-0.438293,0.106803
0.1,16.1,-0.423379,0.149141
0.1,16.2,-0.40442,0.189583
0.1,16.3,-0.381646,0.227747
0.1,16.4,-0.355318,0.263279
0.1,16.5,-0.325732,0.295852
0.1,16.6,-0.293215,0.325174
0.1,16.7,-0.258117,0.350986
0.1,16.8,-0.22081,0.373067
0.1,16.9,-0.181686,0.391235
0.1,17,-0.141151,0.40535
0.1,17.1,-0.0996201,0.415312
0.1,17.2,-0.0575137,0.421064
0.1,17.3,-0.0152548,0.422589
0.1,17.4,0.0267368,0.419916
0.1,17.5,0.0680478,0.413111
0.1,17.6,0.108276,0.402283
0.1,17.7,0.147034,0.38758
0.1,17.8,0.183953,0.369184
0.1,17.9,0.218684,0.347316
0.1,18,0.250907,0.322225
0.1,18.1,0.280326,0.294193
0.1,18.2,0.306678,0.263525
0.1,18.3,0.329734,0.230552
0.1,18.4,0.349296,0.195622
0.1,18.5,0.365206,0.159101
0.1,18.6,0.377343,0.121367
0.1,18.7,0.385623,0.0828048
0.1,18.8,0.390004,0.0438044
0.1,18.9,0.390479,0.00475651
0.1,19,0.387084,-0.0339519
0.1,19.1,0.37989,-0.0719409
0.1,19.2,0.369006,-0.108841
0.1,19.3,0.354576,-0.144299
0.1,19.4,0.336778,-0.177977
0.1,19.5,0.315822,-0.209559
0.1,19.6,0.291947,-0.238754
0.1,19.7,0.265417,-0.265296
0.1,19.8,0.236523,-0.288948
0.1,19.9,0.205572,-0.309505
0.1,20,0.172893,-0.326794
0.1,20.1,0.138825,-0.340677
0.1,20.2,0.10372,-0.351049
0.1,20.3,0.0679359,-0.357842
0.1,20.4,0.0318333,-0.361026
0.1,20.5,-0.00422701,-0.360603
0.1,20.6,-0.0398884,-0.356614
0.1,20.7,-0.0748018,-0.349134
0.1,20.8,-0.108629,-0.338271
0.1,20.9,-0.141046,-0.324167
0.1,21,-0.171745,-0.306992
0.1,21.1,-0.20044,-0.286948
0.1,21.2,-0.226866,-0.264262
0.1,21.3,-0.250784,-0.239183
0.1,21.4,-0.271983,-0.211985
0.1,21.5,-0.290278,-0.182957
0.1,21.6,-0.305519,-0.152405
0.1,21.7,-0.317583,-0.120647
0.1,21.8,-0.326384,-0.0880084
0.1,21.9,-0.331866,-0.0548217
0.1,22,-0.334009,-0.0214209
0.1,22.1,-0.332822,0.0118614
0.1,22.2,-0.328353,0.0446966
0.1,22.3,-0.320676,0.0767643
0.1,22.4,-0.309901,0.107754
0.1,22.5,-0.296164,0.137371
0.1,22.6,-0.27963,0.165334
0.1,22.7,-0.260492,0.191383
0.1,22.8,-0.238964,0.215279
0.1,22.9,-0.215283,0.236808
0.1,23,-0.189706,0.255778
0.1,23.1,-0.162503,0.272029
0.1,23.2,-0.13396,0.285425
0.1,23.3,-0.104374,0.295862
0.1,23.4,-0.0740474,0.303267
0.1,23.5,-0.0432878,0.307596
0.1,23.6,-0.0124042,0.308836
0.1,23.7,0.0182964,0.307006
0.1,23.8,0.0485119,0.302155
0.1,23.9,0.0779479,0.29436
0.1,24,0.106321,0.283728
0.1,24.1,0.13336,0.270392
0.1,24.2,0.158811,0.254511
0.1,24.3,0.182438,0.236267
0.1,24.4,0.204024,0.215865
0.1,24.5,0.223377,0.193527
0.1,24.6,0.240327,0.169495
0.1,24.7,0.254729,0.144022
0.1,24.8,0.266466,0.117375
0.1,24.9,0.275449,0.0898302
0.1,25,0.281616,0.0616686
0.1,25.1,0.284934,0.0331752
0.05,0,1,0
0.05,0.05,0.997506,-0.0498753
0.05,0.1,0.992531,-0.0995019
0.05,0.15,0.985093,-0.148757
0.05,0.2,0.975217,-0.197517
0.05,0.25,0.962934,-0.245664
0.05,0.3,0.94828,-0.293078
0.05,0.35,0.931298,-0.339643
0.05,0.4,0.912036,-0.385245
0.05,0.45,0.890547,-0.429772
0.05,0.5,0.866891,-0.473117
0.05,0.55,0.841133,-0.515173
0.05,0.6,0.813341,-0.55584
0.05,0.65,0.78359,-0.59502
0.05,0.7,0.751959,-0.632618
