tau,t,y,v
0.1,0,1,0
0.1,0.1,1,-0.1
0.1,0.2,0.99,-0.2
0.1,0.3,0.97,-0.299
0.1,0.4,0.9401,-0.396
0.1,0.5,0.9005,-0.49001
0.1,0.6,0.851499,-0.58006
0.1,0.7,0.793493,-0.66521
0.1,0.8,0.726972,-0.744559
0.1,0.9,0.652516,-0.817256
0.1,1,0.57079,-0.882508
0.1,1.1,0.48254,-0.939587
0.1,1.2,0.388581,-0.987841
0.1,1.3,0.289797,-1.0267
0.1,1.4,0.187127,-1.05568
0.1,1.5,0.0815591,-1.07439
0.1,1.6,-0.0258801,-1.08255
0.1,1.7,-0.134135,-1.07996
0.1,1.8,-0.242131,-1.06655
0.1,1.9,-0.348785,-1.04233
0.1,2,-0.453019,-1.00745
0.1,2.1,-0.553764,-0.962152
0.1,2.2,-0.649979,-0.906776
0.1,2.3,-0.740657,-0.841778
0.1,2.4,-0.824835,-0.767712
0.1,2.5,-0.901606,-0.685229
0.1,2.6,-0.970129,-0.595068
0.1,2.7,-1.02964,-0.498055
0.1,2.8,-1.07944,-0.395092
0.1,2.9,-1.11895,-0.287148
0.1,3,-1.14767,-0.175253
0.1,3.1,-1.16519,-0.0604862
0.1,3.2,-1.17124,0.0560329
0.1,3.3,-1.16564,0.173157
0.1,3.4,-1.14832,0.28972
0.1,3.5,-1.11935,0.404552
0.1,3.6,-1.07889,0.516487
0.1,3.7,-1.02724,0.624376
0.1,3.8,-0.964806,0.727101
0.1,3.9,-0.892096,0.823582
0.1,4,-0.809738,0.912791
0.1,4.1,-0.718459,0.993765
0.1,4.2,-0.619083,1.06561
0.1,4.3,-0.512522,1.12752
0.1,4.4,-0.39977,1.17877
0.1,4.5,-0.281892,1.21875
0.1,4.6,-0.160018,1.24694
0.1,4.7,-0.0353239,1.26294
0.1,4.8,0.09097,1.26647
0.1,4.9,0.217617,1.25737
0.1,5,0.343355,1.23561
0.1,5.1,0.466916,1.20128
0.1,5.2,0.587044,1.15459
0.1,5.3,0.702502,1.09588
0.1,5.4,0.81209,1.02563
0.1,5.5,0.914654,0.944422
0.1,5.6,1.0091,0.852957
0.1,5.7,1.09439,0.752047
0.1,5.8,1.1696,0.642608
0.1,5.9,1.23386,0.525649
0.1,6,1.28642,0.402263
0.1,6.1,1.32665,0.273621
0.1,6.2,1.35401,0.140956
0.1,6.3,1.36811,0.00555481
0.1,6.4,1.36866,-0.131256
0.1,6.5,1.35554,-0.268122
0.1,6.6,1.32872,-0.403675
0.1,6.7,1.28836,-0.536548
0.1,6.8,1.2347,-0.665383
0.1,6.9,1.16816,-0.788854
0.1,7,1.08928,-0.90567
0.1,7.1,0.998711,-1.0146
0.1,7.2,0.897251,-1.11447
0.1,7.3,0.785804,-1.20419
0.1,7.4,0.665385,-1.28277
0.1,7.5,0.537107,-1.34931
0.1,7.6,0.402176,-1.40302
0.1,7.7,0.261874,-1.44324
