tau,t,y,v
0.1,0,1,0
0.1,0.1,0.995004,-0.0998334
0.1,0.2,0.980067,-0.198669
0.1,0.3,0.955337,-0.29552
0.1,0.4,0.921061,-0.389418
0.1,0.5,0.877583,-0.479425
0.1,0.6,0.825336,-0.564642
0.1,0.7,0.764842,-0.644218
0.1,0.8,0.696707,-0.717356
0.1,0.9,0.62161,-0.783327
0.1,1,0.540302,-0.841471
0.1,1.1,0.453596,-0.891207
0.1,1.2,0.362358,-0.932039
0.1,1.3,0.267499,-0.963558
0.1,1.4,0.169967,-0.98545
0.1,1.5,0.0707374,-0.997495
0.1,1.6,-0.0291993,-0.999574
0.1,1.7,-0.128844,-0.991665
0.1,1.8,-0.227202,-0.973848
0.1,1.9,-0.323289,-0.9463
0.1,2,-0.416147,-0.909298
0.1,2.1,-0.504846,-0.86321
0.1,2.2,-0.588501,-0.808497
0.1,2.3,-0.666276,-0.745705
0.1,2.4,-0.737393,-0.675463
0.1,2.5,-0.801143,-0.598472
0.1,2.6,-0.856889,-0.515502
0.1,2.7,-0.904072,-0.42738
0.1,2.8,-0.942222,-0.334989
0.1,2.9,-0.970958,-0.23925
0.1,3,-0.989992,-0.14112
0.1,3.1,-0.999135,-0.0415811
0.1,3.2,-0.998295,0.0583737
0.1,3.3,-0.98748,0.157745
0.1,3.4,-0.966798,0.255541
0.1,3.5,-0.936457,0.350783
0.1,3.6,-0.896759,0.44252
0.1,3.7,-0.8481,0.529836
0.1,3.8,-0.790968,0.611857
0.1,3.9,-0.725933,0.687766
0.1,4,-0.653644,0.756802
0.1,4.1,-0.574824,0.818277
0.1,4.2,-0.490261,0.871575
0.1,4.3,-0.4008,0.916166
0.1,4.4,-0.307333,0.951602
0.1,4.5,-0.210796,0.97753
0.1,4.6,-0.112153,0.993691
0.1,4.7,-0.0123893,0.999923
0.1,4.8,0.0874983,0.996165
0.1,4.9,0.186512,0.982453
0.1,5,0.283662,0.958924
0.1,5.1,0.377977,0.925815
0.1,5.2,0.468516,0.883455
0.1,5.3,0.554374,0.832268
0.1,5.4,0.634692,0.772765
0.1,5.5,0.708669,0.705541
0.1,5.6,0.775565,0.631267
0.1,5.7,0.834712,0.550686
0.1,5.8,0.885519,0.464603
0.1,5.9,0.927478,0.373877
0.1,6,0.96017,0.279416
0.1,6.1,0.983268,0.182163
0.1,6.2,0.996542,0.0830903
0.1,6.3,0.999859,-0.016813
0.1,6.4,0.993185,-0.116548
0.1,6.5,0.976588,-0.215119
0.1,6.6,0.950233,-0.31154
0.1,6.7,0.914384,-0.404849
0.1,6.8,0.869398,-0.494113
0.1,6.9,0.815726,-0.578439
0.1,7,0.753903,-0.656986
0.1,7.1,0.684547,-0.728968
0.1,7.2,0.608352,-0.793667
0.1,7.3,0.526078,-0.850436
0.1,7.4,0.438548,-0.898708
0.1,7.5,0.346636,-0.938
0.1,7.6,0.251261,-0.967919
0.1,7.7,0.153375,-0.988168
0.1,7.8,0.0539565,-0.998543
0.1,7.9,-0.046001,-0.998941
0.1,8,-0.145499,-0.989358
0.1,8.1,-0.243543,-0.96989
0.1,8.2,-0.339154,-0.940731
0.1,8.3,-0.431376,-0.902172
0.1,8.4,-0.519288,-0.8546
0.1,8.5,-0.602011,-0.798488
0.1,8.6,-0.678719,-0.734398
0.1,8.7,-0.748646,-0.66297
0.1,8.8,-0.811092,-0.584918
0.1,8.9,-0.865435,-0.501022
0.1,9,-0.91113,-0.41212
0.1,9.1,-0.947721,-0.3191
0.1,9.2,-0.974843,-0.222891
0.1,9.3,-0.992225,-0.124456
0.1,9.4,-0.999693,-0.0247767
0.1,9.5,-0.997172,0.0751498
