tau,t,y,v
2.51327,0,1,0
2.51327,2.51327,-0.495825,0.132595
2.51327,5.02655,0.228261,-0.131488
2.51327,7.53982,-0.0957429,0.0954611
2.51327,10.0531,0.0348141,-0.060027
2.51327,12.5664,-0.00930242,0.034379
2.51327,15.0796,5.38869e-05,-0.0182794
2.51327,17.5929,0.00239704,0.00907055
2.51327,20.1062,-0.00239122,-0.00417957
2.51327,22.6195,0.00173982,0.00175527
2.51327,25.1327,-0.00109538,-0.000639616
0.502655,0,1,0
0.502655,0.502655,0.876329,-0.481488
0.502655,1.00531,0.536122,-0.843884
0.502655,1.50796,0.0634995,-0.997656
0.502655,2.01062,-0.424713,-0.904849
0.502655,2.51327,-0.807862,-0.588451
0.502655,3.01593,-0.991285,-0.126701
0.502655,3.51858,-0.929697,0.36626
0.502655,4.02124,-0.638371,0.768602
0.502655,4.52389,-0.18935,0.980916
0.502655,5.02655,0.306366,0.950775
0.502655,5.5292,0.726264,0.68568
0.502655,6.03186,0.966593,0.251194
0.502655,6.53451,0.968,-0.245274
0.502655,7.03717,0.73019,-0.681021
0.502655,7.53982,0.311983,-0.948376
0.502655,8.04248,-0.183232,-0.981306
0.502655,8.54513,-0.633058,-0.771723
0.502655,9.04779,-0.926342,-0.371473
0.502655,9.55044,-0.99064,0.12049
0.502655,10.0531,-0.810113,0.58257
0.502655,10.5558,-0.429425,0.900582
0.502655,11.0584,0.057302,0.995969
0.502655,11.5611,0.529763,0.845206
0.502655,12.0637,0.871203,0.485605
0.502655,12.5664,0.997273,0.0060758
0.502655,13.069,0.876865,-0.47485
0.502655,13.5717,0.539787,-0.838325
0.502655,14.0743,0.0693879,-0.994549
0.502655,14.577,-0.418057,-0.904962
0.502655,15.0796,-0.802084,-0.591755
0.502655,15.5823,-0.987812,-0.132379
0.502655,16.085,-0.929387,0.359612
0.502655,16.5876,-0.6413,0.762627
0.502655,17.0903,-0.194794,0.97709
0.502655,17.5929,0.299754,0.950043
0.502655,18.0956,0.720117,0.688223
0.502655,18.5982,0.962431,0.256382
0.502655,19.1009,0.966851,-0.238724
0.502655,19.6035,0.732337,-0.674727
0.502655,20.1062,0.316895,-0.943894
0.502655,20.6088,-0.17677,-0.979743
0.502655,21.1115,-0.626643,-0.773465
0.502655,21.6142,-0.921559,-0.376089
0.502655,22.1168,-0.988671,0.114142
0.502655,22.6195,-0.811443,0.576059
0.502655,23.1221,-0.433726,0.895517
0.502655,23.6248,0.0510945,0.993601
0.502655,24.1274,0.523183,0.84612
0.502655,24.6301,0.865877,0.489574
0.502655,25.1327,0.994517,0.0121185
0.251327,0,1,0
0.251327,0.251327,0.968584,-0.248682
0.251327,0.502655,0.876312,-0.481738
0.251327,0.753982,0.728982,-0.684526
0.251327,1.00531,0.535851,-0.844305
0.251327,1.25664,0.309053,-0.951036
0.251327,1.50796,0.0628388,-0.998013
0.251327,1.75929,-0.187323,-0.982286
0.251327,2.01062,-0.425714,-0.904842
0.251327,2.26195,-0.637357,-0.770548
0.251327,2.51327,-0.808955,-0.587841
0.251327,2.7646,-0.929726,-0.368201
0.251327,3.01593,-0.992082,-0.125428
0.251327,3.26726,-0.992106,0.125225
0.251327,3.51858,-0.929796,0.368009
0.251327,3.76991,-0.809068,0.587671
0.251327,4.02124,-0.637507,0.770409
0.251327,4.27257,-0.425892,0.904741
0.251327,4.52389,-0.18752,0.982229
0.251327,4.77522,0.0626336,0.998004
0.251327,5.02655,0.308851,0.951074
0.251327,5.27788,0.535662,0.844389
0.251327,5.5292,0.728818,0.684652
0.251327,5.78053,0.876181,0.481899
0.251327,6.03186,0.968494,0.248869
0.251327,6.28319,0.999957,0.000204207
0.251327,6.53451,0.968592,-0.248473
0.251327,6.78584,0.876372,-0.481538
0.251327,7.03717,0.72909,-0.684347
0.251327,7.28849,0.536,-0.844158
0.251327,7.53982,0.309234,-0.950931
0.251327,7.79115,0.0630399,-0.997957
0.251327,8.04248,-0.187114,-0.982282
0.251327,8.2938,-0.425511,-0.90489
0.251327,8.54513,-0.637172,-0.770645
0.251327,8.79646,-0.8088,-0.587981
0.251327,9.04779,-0.92961,-0.368375
0.251327,9.29911,-0.992013,-0.125625
0.251327,9.55044,-0.992088,0.125017
0.251327,9.80177,-0.929831,0.367803
0.251327,10.0531,-0.809153,0.58748
0.251327,10.3044,-0.637637,0.770245
0.251327,10.5558,-0.426059,0.904615
0.251327,10.8071,-0.187712,0.982148
0.251327,11.0584,0.062427,0.997973
0.251327,11.3097,0.308643,0.951096
0.251327,11.5611,0.535467,0.844462
0.251327,11.8124,0.728646,0.684771
0.251327,12.0637,0.876045,0.482057
0.251327,12.315,0.968401,0.249056
0.251327,12.5664,0.999913,0.000408397
