N,t,UC,timevar
50,0,1,0
50,0.004,0.341921,0.004
50,0.008,-0.785548,0.008
50,0.012,-0.830251,0.012
50,0.016,0.274989,0.016
50,0.02,0.997883,0.02
50,0.024,0.343836,0.024
50,0.028,-0.78728,0.028
50,0.032,-0.828683,0.032
50,0.036,0.273571,0.036
50,0.04,0.999167,0.04
50,0.044,0.342675,0.044
50,0.048,-0.78623,0.048
50,0.052,-0.829634,0.052
50,0.056,0.274431,0.056
50,0.06,0.998388,0.06
50,0.064,0.343379,0.064
50,0.068,-0.786867,0.068
50,0.072,-0.829058,0.072
50,0.076,0.273909,0.076
50,0.08,0.99886,0.08
50,0.084,0.342952,0.084
50,0.088,-0.786481,0.088
50,0.092,-0.829407,0.092
50,0.096,0.274225,0.096
50,0.1,0.998574,0.1
50,0.104,0.343211,0.104
50,0.108,-0.786715,0.108
50,0.112,-0.829195,0.112
50,0.116,0.274034,0.116
50,0.12,0.998748,0.12
50,0.124,0.343054,0.124
50,0.128,-0.786573,0.128
50,0.132,-0.829324,0.132
50,0.136,0.27415,0.136
50,0.14,0.998642,0.14
50,0.144,0.343149,0.144
50,0.148,-0.786659,0.148
50,0.152,-0.829246,0.152
50,0.156,0.27408,0.156
50,0.16,0.998706,0.16
50,0.164,0.343092,0.164
50,0.168,-0.786607,0.168
50,0.172,-0.829293,0.172
50,0.176,0.274122,0.176
50,0.18,0.998667,0.18
50,0.184,0.343127,0.184
50,0.188,-0.786638,0.188
50,0.192,-0.829264,0.192
50,0.196,0.274096,0.196
50,0.2,0.998691,0.2
100,0,1,0
100,0.002,0.826379,0.002
100,0.004,0.340266,0.004
100,0.006,-0.2784,0.006
100,0.008,-0.788613,0.008
100,0.01,-0.999332,0.01
100,0.012,-0.826926,0.012
100,0.014,-0.339819,0.014
100,0.016,0.278034,0.016
100,0.018,0.788912,0.018
100,0.02,0.999087,0.02
100,0.022,0.827126,0.022
100,0.024,0.339655,0.024
100,0.026,-0.2779,0.026
100,0.028,-0.789022,0.028
100,0.03,-0.998997,0.03
100,0.032,-0.827199,0.032
100,0.034,-0.339595,0.034
100,0.036,0.27785,0.036
100,0.038,0.789062,0.038
100,0.04,0.998964,0.04
100,0.042,0.827226,0.042
100,0.044,0.339573,0.044
100,0.046,-0.277832,0.046
100,0.048,-0.789077,0.048
100,0.05,-0.998952,0.05
100,0.052,-0.827236,0.052
100,0.054,-0.339565,0.054
100,0.056,0.277826,0.056
100,0.058,0.789083,0.058
100,0.06,0.998948,0.06
100,0.062,0.82724,0.062
100,0.064,0.339562,0.064
100,0.066,-0.277823,0.066
100,0.068,-0.789084,0.068
100,0.07,-0.998946,0.07
100,0.072,-0.827241,0.072
100,0.074,-0.339561,0.074
100,0.076,0.277823,0.076
100,0.078,0.789085,0.078
100,0.08,0.998946,0.08
100,0.082,0.827242,0.082
100,0.084,0.33956,0.084
100,0.086,-0.277822,0.086
100,0.088,-0.789085,0.088
100,0.09,-0.998946,0.09
100,0.092,-0.827242,0.092
100,0.094,-0.33956,0.094
100,0.096,0.277822,0.096
100,0.098,0.789086,0.098
100,0.1,0.998945,0.1
100,0.102,0.827242,0.102
100,0.104,0.33956,0.104
100,0.106,-0.277822,0.106
100,0.108,-0.789086,0.108
100,0.11,-0.998945,0.11
100,0.112,-0.827242,0.112
100,0.114,-0.33956,0.114
100,0.116,0.277822,0.116
100,0.118,0.789086,0.118
100,0.12,0.998945,0.12
100,0.122,0.827242,0.122
100,0.124,0.33956,0.124
100,0.126,-0.277822,0.126
100,0.128,-0.789086,0.128
100,0.13,-0.998945,0.13
100,0.132,-0.827242,0.132
100,0.134,-0.33956,0.134
100,0.136,0.277822,0.136
100,0.138,0.789086,0.138
100,0.14,0.998945,0.14
100,0.142,0.827242,0.142
100,0.144,0.33956,0.144
100,0.146,-0.277822,0.146
100,0.148,-0.789086,0.148
100,0.15,-0.998945,0.15
100,0.152,-0.827242,0.152
100,0.154,-0.33956,0.154
100,0.156,0.277822,0.156
100,0.158,0.789086,0.158
100,0.16,0.998945,0.16
100,0.162,0.827242,0.162
100,0.164,0.33956,0.164
100,0.166,-0.277822,0.166
100,0.168,-0.789086,0.168
100,0.17,-0.998945,0.17
100,0.172,-0.827242,0.172
100,0.174,-0.33956,0.174
100,0.176,0.277822,0.176
100,0.178,0.789086,0.178
100,0.18,0.998945,0.18
100,0.182,0.827242,0.182
100,0.184,0.33956,0.184
100,0.186,-0.277822,0.186
100,0.188,-0.789086,0.188
100,0.19,-0.998945,0.19
100,0.192,-0.827242,0.192
100,0.194,-0.33956,0.194
100,0.196,0.277822,0.196
100,0.198,0.789086,0.198
100,0.2,0.998945,0.2
200,0,1,0
200,0.001,0.959214,0.001
200,0.002,0.827252,0.002
200,0.003,0.6125,0.003
200,0.004,0.339002,0.004
200,0.005,0.0315131,0.005
200,0.006,-0.278523,0.006
200,0.007,-0.561653,0.007
200,0.008,-0.789566,0.008
200,0.009,-0.94035,0.009
200,0.01,-0.99898,0.01
200,0.011,-0.959894,0.011
200,0.012,-0.826799,0.012
200,0.013,-0.612803,0.013
200,0.014,-0.3388,0.014
200,0.015,-0.0316474,0.015
200,0.016,0.278612,0.016
200,0.017,0.561594,0.017
200,0.018,0.789606,0.018
200,0.019,0.940324,0.019
200,0.02,0.998998,0.02
200,0.021,0.959882,0.021
200,0.022,0.826807,0.022
200,0.023,0.612797,0.023
200,0.024,0.338804,0.024
200,0.025,0.0316451,0.025
200,0.026,-0.278611,0.026
200,0.027,-0.561595,0.027
200,0.028,-0.789605,0.028
200,0.029,-0.940324,0.029
200,0.03,-0.998998,0.03
200,0.031,-0.959882,0.031
200,0.032,-0.826807,0.032
200,0.033,-0.612797,0.033
200,0.034,-0.338804,0.034
200,0.035,-0.0316451,0.035
200,0.036,0.278611,0.036
200,0.037,0.561595,0.037
200,0.038,0.789605,0.038
200,0.039,0.940324,0.039
200,0.04,0.998998,0.04
200,0.041,0.959882,0.041
200,0.042,0.826807,0.042
200,0.043,0.612797,0.043
200,0.044,0.338804,0.044
200,0.045,0.0316451,0.045
200,0.046,-0.278611,0.046
200,0.047,-0.561595,0.047
200,0.048,-0.789605,0.048
200,0.049,-0.940324,0.049
200,0.05,-0.998998,0.05
200,0.051,-0.959882,0.051
200,0.052,-0.826807,0.052
200,0.053,-0.612797,0.053
200,0.054,-0.338804,0.054
200,0.055,-0.0316451,0.055
200,0.056,0.278611,0.056
200,0.057,0.561595,0.057
200,0.058,0.789605,0.058
200,0.059,0.940324,0.059
200,0.06,0.998998,0.06
200,0.061,0.959882,0.061
200,0.062,0.826807,0.062
200,0.063,0.612797,0.063
200,0.064,0.338804,0.064
200,0.065,0.0316451,0.065
200,0.066,-0.278611,0.066
200,0.067,-0.561595,0.067
200,0.068,-0.789605,0.068
200,0.069,-0.940324,0.069
200,0.07,-0.998998,0.07
200,0.071,-0.959882,0.071
200,0.072,-0.826807,0.072
200,0.073,-0.612797,0.073
200,0.074,-0.338804,0.074
200,0.075,-0.0316451,0.075
200,0.076,0.278611,0.076
200,0.077,0.561595,0.077
200,0.078,0.789605,0.078
200,0.079,0.940324,0.079
200,0.08,0.998998,0.08
200,0.081,0.959882,0.081
200,0.082,0.826807,0.082
200,0.083,0.612797,0.083
200,0.084,0.338804,0.084
200,0.085,0.0316451,0.085
200,0.086,-0.278611,0.086
200,0.087,-0.561595,0.087
200,0.088,-0.789605,0.088
200,0.089,-0.940324,0.089
200,0.09,-0.998998,0.09
200,0.091,-0.959882,0.091
200,0.092,-0.826807,0.092
200,0.093,-0.612797,0.093
200,0.094,-0.338804,0.094
200,0.095,-0.0316451,0.095
200,0.096,0.278611,0.096
200,0.097,0.561595,0.097
200,0.098,0.789605,0.098
200,0.099,0.940324,0.099
200,0.1,0.998998,0.1
200,0.101,0.959882,0.101
200,0.102,0.826807,0.102
200,0.103,0.612797,0.103
200,0.104,0.338804,0.104
200,0.105,0.0316451,0.105
200,0.106,-0.278611,0.106
200,0.107,-0.561595,0.107
200,0.108,-0.789605,0.108
200,0.109,-0.940324,0.109
200,0.11,-0.998998,0.11
200,0.111,-0.959882,0.111
200,0.112,-0.826807,0.112
200,0.113,-0.612797,0.113
200,0.114,-0.338804,0.114
200,0.115,-0.0316451,0.115
200,0.116,0.278611,0.116
200,0.117,0.561595,0.117
200,0.118,0.789605,0.118
200,0.119,0.940324,0.119
200,0.12,0.998998,0.12
200,0.121,0.959882,0.121
200,0.122,0.826807,0.122
200,0.123,0.612797,0.123
200,0.124,0.338804,0.124
200,0.125,0.0316451,0.125
200,0.126,-0.278611,0.126
200,0.127,-0.561595,0.127
200,0.128,-0.789605,0.128
200,0.129,-0.940324,0.129
200,0.13,-0.998998,0.13
200,0.131,-0.959882,0.131
200,0.132,-0.826807,0.132
200,0.133,-0.612797,0.133
200,0.134,-0.338804,0.134
200,0.135,-0.0316451,0.135
200,0.136,0.278611,0.136
200,0.137,0.561595,0.137
200,0.138,0.789605,0.138
200,0.139,0.940324,0.139
200,0.14,0.998998,0.14
200,0.141,0.959882,0.141
200,0.142,0.826807,0.142
200,0.143,0.612797,0.143
200,0.144,0.338804,0.144
200,0.145,0.0316451,0.145
200,0.146,-0.278611,0.146
200,0.147,-0.561595,0.147
200,0.148,-0.789605,0.148
200,0.149,-0.940324,0.149
200,0.15,-0.998998,0.15
200,0.151,-0.959882,0.151
200,0.152,-0.826807,0.152
200,0.153,-0.612797,0.153
200,0.154,-0.338804,0.154
200,0.155,-0.0316451,0.155
200,0.156,0.278611,0.156
200,0.157,0.561595,0.157
200,0.158,0.789605,0.158
200,0.159,0.940324,0.159
200,0.16,0.998998,0.16
200,0.161,0.959882,0.161
200,0.162,0.826807,0.162
200,0.163,0.612797,0.163
200,0.164,0.338804,0.164
200,0.165,0.0316451,0.165
200,0.166,-0.278611,0.166
200,0.167,-0.561595,0.167
200,0.168,-0.789605,0.168
200,0.169,-0.940324,0.169
200,0.17,-0.998998,0.17
200,0.171,-0.959882,0.171
200,0.172,-0.826807,0.172
200,0.173,-0.612797,0.173
200,0.174,-0.338804,0.174
200,0.175,-0.0316451,0.175
200,0.176,0.278611,0.176
200,0.177,0.561595,0.177
200,0.178,0.789605,0.178
200,0.179,0.940324,0.179
200,0.18,0.998998,0.18
200,0.181,0.959882,0.181
200,0.182,0.826807,0.182
200,0.183,0.612797,0.183
200,0.184,0.338804,0.184
200,0.185,0.0316451,0.185
200,0.186,-0.278611,0.186
200,0.187,-0.561595,0.187
200,0.188,-0.789605,0.188
200,0.189,-0.940324,0.189
200,0.19,-0.998998,0.19
200,0.191,-0.959882,0.191
200,0.192,-0.826807,0.192
200,0.193,-0.612797,0.193
200,0.194,-0.338804,0.194
200,0.195,-0.0316451,0.195
200,0.196,0.278611,0.196
200,0.197,0.561595,0.197
200,0.198,0.789605,0.198
200,0.199,0.940324,0.199
200,0.2,0.998998,0.2
300,0,1,0
300,0.000666667,0.98319,0.000666667
300,0.00133333,0.925738,0.00133333
300,0.002,0.826574,0.002
300,0.00266667,0.691959,0.00266667
300,0.00333333,0.526738,0.00333333
300,0.004,0.338693,0.004
300,0.00466667,0.135739,0.00466667
300,0.00533333,-0.0730902,0.00533333
300,0.006,-0.278756,0.006
300,0.00666667,-0.472222,0.00666667
300,0.00733333,-0.645058,0.00733333
300,0.008,-0.789698,0.008
300,0.00866667,-0.899826,0.00866667
300,0.00933333,-0.970627,0.00933333
300,0.01,-0.999007,0.01
300,0.0106667,-0.983725,0.0106667
300,0.0113333,-0.92545,0.0113333
300,0.012,-0.826729,0.012
300,0.0126667,-0.691875,0.0126667
300,0.0133333,-0.526783,0.0133333
300,0.014,-0.338668,0.014
300,0.0146667,-0.135752,0.0146667
300,0.0153333,0.0730972,0.0153333
300,0.016,0.278752,0.016
300,0.0166667,0.472224,0.0166667
300,0.0173333,0.645057,0.0173333
300,0.018,0.789698,0.018
300,0.0186667,0.899826,0.0186667
300,0.0193333,0.970627,0.0193333
300,0.02,0.999007,0.02
300,0.0206667,0.983725,0.0206667
300,0.0213333,0.92545,0.0213333
300,0.022,0.826729,0.022
300,0.0226667,0.691875,0.0226667
300,0.0233333,0.526783,0.0233333
300,0.024,0.338668,0.024
300,0.0246667,0.135752,0.0246667
300,0.0253333,-0.0730972,0.0253333
300,0.026,-0.278752,0.026
300,0.0266667,-0.472224,0.0266667
300,0.0273333,-0.645057,0.0273333
300,0.028,-0.789698,0.028
300,0.0286667,-0.899826,0.0286667
300,0.0293333,-0.970627,0.0293333
300,0.03,-0.999007,0.03
300,0.0306667,-0.983725,0.0306667
300,0.0313333,-0.92545,0.0313333
300,0.032,-0.826729,0.032
300,0.0326667,-0.691875,0.0326667
300,0.0333333,-0.526783,0.0333333
300,0.034,-0.338668,0.034
300,0.0346667,-0.135752,0.0346667
300,0.0353333,0.0730972,0.0353333
300,0.036,0.278752,0.036
300,0.0366667,0.472224,0.0366667
300,0.0373333,0.645057,0.0373333
300,0.038,0.789698,0.038
300,0.0386667,0.899826,0.0386667
300,0.0393333,0.970627,0.0393333
300,0.04,0.999007,0.04
300,0.0406667,0.983725,0.0406667
300,0.0413333,0.92545,0.0413333
300,0.042,0.826729,0.042
300,0.0426667,0.691875,0.0426667
300,0.0433333,0.526783,0.0433333
300,0.044,0.338668,0.044
300,0.0446667,0.135752,0.0446667
300,0.0453333,-0.0730972,0.0453333
300,0.046,-0.278752,0.046
300,0.0466667,-0.472224,0.0466667
300,0.0473333,-0.645057,0.0473333
300,0.048,-0.789698,0.048
300,0.0486667,-0.899826,0.0486667
300,0.0493333,-0.970627,0.0493333
300,0.05,-0.999007,0.05
300,0.0506667,-0.983725,0.0506667
300,0.0513333,-0.92545,0.0513333
300,0.052,-0.826729,0.052
300,0.0526667,-0.691875,0.0526667
300,0.0533333,-0.526783,0.0533333
300,0.054,-0.338668,0.054
300,0.0546667,-0.135752,0.0546667
300,0.0553333,0.0730972,0.0553333
300,0.056,0.278752,0.056
300,0.0566667,0.472224,0.0566667
300,0.0573333,0.645057,0.0573333
300,0.058,0.789698,0.058
300,0.0586667,0.899826,0.0586667
300,0.0593333,0.970627,0.0593333
300,0.06,0.999007,0.06
300,0.0606667,0.983725,0.0606667
300,0.0613333,0.92545,0.0613333
300,0.062,0.826729,0.062
300,0.0626667,0.691875,0.0626667
300,0.0633333,0.526783,0.0633333
300,0.064,0.338668,0.064
300,0.0646667,0.135752,0.0646667
300,0.0653333,-0.0730972,0.0653333
300,0.066,-0.278752,0.066
300,0.0666667,-0.472224,0.0666667
300,0.0673333,-0.645057,0.0673333
300,0.068,-0.789698,0.068
300,0.0686667,-0.899826,0.0686667
300,0.0693333,-0.970627,0.0693333
300,0.07,-0.999007,0.07
300,0.0706667,-0.983725,0.0706667
300,0.0713333,-0.92545,0.0713333
300,0.072,-0.826729,0.072
300,0.0726667,-0.691875,0.0726667
300,0.0733333,-0.526783,0.0733333
300,0.074,-0.338668,0.074
300,0.0746667,-0.135752,0.0746667
300,0.0753333,0.0730972,0.0753333
300,0.076,0.278752,0.076
300,0.0766667,0.472224,0.0766667
300,0.0773333,0.645057,0.0773333
300,0.078,0.789698,0.078
300,0.0786667,0.899826,0.0786667
300,0.0793333,0.970627,0.0793333
300,0.08,0.999007,0.08
300,0.0806667,0.983725,0.0806667
300,0.0813333,0.92545,0.0813333
300,0.082,0.826729,0.082
300,0.0826667,0.691875,0.0826667
300,0.0833333,0.526783,0.0833333
300,0.084,0.338668,0.084
300,0.0846667,0.135752,0.0846667
300,0.0853333,-0.0730972,0.0853333
300,0.086,-0.278752,0.086
300,0.0866667,-0.472224,0.0866667
300,0.0873333,-0.645057,0.0873333
300,0.088,-0.789698,0.088
300,0.0886667,-0.899826,0.0886667
300,0.0893333,-0.970627,0.0893333
300,0.09,-0.999007,0.09
300,0.0906667,-0.983725,0.0906667
300,0.0913333,-0.92545,0.0913333
300,0.092,-0.826729,0.092
300,0.0926667,-0.691875,0.0926667
300,0.0933333,-0.526783,0.0933333
300,0.094,-0.338668,0.094
300,0.0946667,-0.135752,0.0946667
300,0.0953333,0.0730972,0.0953333
300,0.096,0.278752,0.096
300,0.0966667,0.472224,0.0966667
300,0.0973333,0.645057,0.0973333
300,0.098,0.789698,0.098
300,0.0986667,0.899826,0.0986667
300,0.0993333,0.970627,0.0993333
300,0.1,0.999007,0.1
300,0.100667,0.983725,0.100667
300,0.101333,0.92545,0.101333
300,0.102,0.826729,0.102
300,0.102667,0.691875,0.102667
300,0.103333,0.526783,0.103333
300,0.104,0.338668,0.104
300,0.104667,0.135752,0.104667
300,0.105333,-0.0730972,0.105333
300,0.106,-0.278752,0.106
300,0.106667,-0.472224,0.106667
300,0.107333,-0.645057,0.107333
300,0.108,-0.789698,0.108
300,0.108667,-0.899826,0.108667
300,0.109333,-0.970627,0.109333
300,0.11,-0.999007,0.11
300,0.110667,-0.983725,0.110667
300,0.111333,-0.92545,0.111333
300,0.112,-0.826729,0.112
300,0.112667,-0.691875,0.112667
300,0.113333,-0.526783,0.113333
300,0.114,-0.338668,0.114
300,0.114667,-0.135752,0.114667
300,0.115333,0.0730972,0.115333
300,0.116,0.278752,0.116
300,0.116667,0.472224,0.116667
300,0.117333,0.645057,0.117333
300,0.118,0.789698,0.118
300,0.118667,0.899826,0.118667
300,0.119333,0.970627,0.119333
300,0.12,0.999007,0.12
300,0.120667,0.983725,0.120667
300,0.121333,0.92545,0.121333
300,0.122,0.826729,0.122
300,0.122667,0.691875,0.122667
300,0.123333,0.526783,0.123333
300,0.124,0.338668,0.124
300,0.124667,0.135752,0.124667
300,0.125333,-0.0730972,0.125333
300,0.126,-0.278752,0.126
300,0.126667,-0.472224,0.126667
300,0.127333,-0.645057,0.127333
300,0.128,-0.789698,0.128
300,0.128667,-0.899826,0.128667
300,0.129333,-0.970627,0.129333
300,0.13,-0.999007,0.13
300,0.130667,-0.983725,0.130667
300,0.131333,-0.92545,0.131333
300,0.132,-0.826729,0.132
300,0.132667,-0.691875,0.132667
300,0.133333,-0.526783,0.133333
300,0.134,-0.338668,0.134
300,0.134667,-0.135752,0.134667
300,0.135333,0.0730972,0.135333
300,0.136,0.278752,0.136
300,0.136667,0.472224,0.136667
300,0.137333,0.645057,0.137333
300,0.138,0.789698,0.138
300,0.138667,0.899826,0.138667
300,0.139333,0.970627,0.139333
300,0.14,0.999007,0.14
300,0.140667,0.983725,0.140667
300,0.141333,0.92545,0.141333
300,0.142,0.826729,0.142
300,0.142667,0.691875,0.142667
300,0.143333,0.526783,0.143333
300,0.144,0.338668,0.144
300,0.144667,0.135752,0.144667
300,0.145333,-0.0730972,0.145333
300,0.146,-0.278752,0.146
300,0.146667,-0.472224,0.146667
300,0.147333,-0.645057,0.147333
300,0.148,-0.789698,0.148
300,0.148667,-0.899826,0.148667
300,0.149333,-0.970627,0.149333
300,0.15,-0.999007,0.15
300,0.150667,-0.983725,0.150667
300,0.151333,-0.92545,0.151333
300,0.152,-0.826729,0.152
300,0.152667,-0.691875,0.152667
300,0.153333,-0.526783,0.153333
300,0.154,-0.338668,0.154
300,0.154667,-0.135752,0.154667
300,0.155333,0.0730972,0.155333
300,0.156,0.278752,0.156
300,0.156667,0.472224,0.156667
300,0.157333,0.645057,0.157333
300,0.158,0.789698,0.158
300,0.158667,0.899826,0.158667
300,0.159333,0.970627,0.159333
300,0.16,0.999007,0.16
300,0.160667,0.983725,0.160667
300,0.161333,0.92545,0.161333
300,0.162,0.826729,0.162
300,0.162667,0.691875,0.162667
300,0.163333,0.526783,0.163333
300,0.164,0.338668,0.164
300,0.164667,0.135752,0.164667
300,0.165333,-0.0730972,0.165333
300,0.166,-0.278752,0.166
300,0.166667,-0.472224,0.166667
300,0.167333,-0.645057,0.167333
300,0.168,-0.789698,0.168
300,0.168667,-0.899826,0.168667
300,0.169333,-0.970627,0.169333
300,0.17,-0.999007,0.17
300,0.170667,-0.983725,0.170667
300,0.171333,-0.92545,0.171333
300,0.172,-0.826729,0.172
300,0.172667,-0.691875,0.172667
300,0.173333,-0.526783,0.173333
300,0.174,-0.338668,0.174
300,0.174667,-0.135752,0.174667
300,0.175333,0.0730972,0.175333
300,0.176,0.278752,0.176
300,0.176667,0.472224,0.176667
300,0.177333,0.645057,0.177333
300,0.178,0.789698,0.178
300,0.178667,0.899826,0.178667
300,0.179333,0.970627,0.179333
300,0.18,0.999007,0.18
300,0.180667,0.983725,0.180667
300,0.181333,0.92545,0.181333
300,0.182,0.826729,0.182
300,0.182667,0.691875,0.182667
300,0.183333,0.526783,0.183333
300,0.184,0.338668,0.184
300,0.184667,0.135752,0.184667
300,0.185333,-0.0730972,0.185333
300,0.186,-0.278752,0.186
300,0.186667,-0.472224,0.186667
300,0.187333,-0.645057,0.187333
300,0.188,-0.789698,0.188
300,0.188667,-0.899826,0.188667
300,0.189333,-0.970627,0.189333
300,0.19,-0.999007,0.19
300,0.190667,-0.983725,0.190667
300,0.191333,-0.92545,0.191333
300,0.192,-0.826729,0.192
300,0.192667,-0.691875,0.192667
300,0.193333,-0.526783,0.193333
300,0.194,-0.338668,0.194
300,0.194667,-0.135752,0.194667
300,0.195333,0.0730972,0.195333
300,0.196,0.278752,0.196
300,0.196667,0.472224,0.196667
300,0.197333,0.645057,0.197333
300,0.198,0.789698,0.198
300,0.198667,0.899826,0.198667
300,0.199333,0.970627,0.199333
300,0.2,0.999007,0.2
