tau,t,UC,timevar
0.004,0,1,0
0.004,0.004,1,0.004
0.004,0.008,-26.6393,0.008
0.004,0.012,1006.57,0.012
0.004,0.016,-39288.7,0.016
0.004,0.02,1.53227e+06,0.02
0.004,0.024,-5.97586e+07,0.024
0.004,0.028,2.33058e+09,0.028
0.004,0.032,-9.08928e+10,0.032
0.004,0.036,3.54482e+12,0.036
0.004,0.04,-1.38248e+14,0.04
0.004,0.044,5.39167e+15,0.044
0.004,0.048,-2.10275e+17,0.048
0.004,0.052,8.20073e+18,0.052
0.004,0.056,-3.19828e+20,0.056
0.004,0.06,1.24733e+22,0.06
0.004,0.064,-4.86459e+23,0.064
0.004,0.068,1.89719e+25,0.068
0.004,0.072,-7.39904e+26,0.072
0.004,0.076,2.88563e+28,0.076
0.004,0.08,-1.12539e+30,0.08
0.004,0.084,4.38904e+31,0.084
0.004,0.088,-1.71172e+33,0.088
0.004,0.092,6.67572e+34,0.092
0.004,0.096,-2.60353e+36,0.096
0.004,0.1,1.01538e+38,0.1
0.004,0.104,-3.95997e+39,0.104
0.004,0.108,1.54439e+41,0.108
0.004,0.112,-6.02312e+42,0.112
0.004,0.116,2.34902e+44,0.116
0.004,0.12,-9.16116e+45,0.12
0.004,0.124,3.57285e+47,0.124
0.004,0.128,-1.39341e+49,0.128
0.004,0.132,5.43431e+50,0.132
0.004,0.136,-2.11938e+52,0.136
0.004,0.14,8.26559e+53,0.14
0.004,0.144,-3.22358e+55,0.144
0.004,0.148,1.2572e+57,0.148
0.004,0.152,-4.90306e+58,0.152
0.004,0.156,1.91219e+60,0.156
0.004,0.16,-7.45756e+61,0.16
0.004,0.164,2.90845e+63,0.164
0.004,0.168,-1.13429e+65,0.168
0.004,0.172,4.42375e+66,0.172
0.004,0.176,-1.72526e+68,0.176
0.004,0.18,6.72852e+69,0.18
0.004,0.184,-2.62412e+71,0.184
0.004,0.188,1.02341e+73,0.188
0.004,0.192,-3.99129e+74,0.192
0.004,0.196,1.5566e+76,0.196
0.004,0.2,-6.07076e+77,0.2
0.002,0,1,0
0.002,0.002,1,0.002
0.002,0.004,-2.81966,0.004
0.002,0.006,59.7539,0.006
0.002,0.008,-1141.5,0.008
0.002,0.01,21672.4,0.01
0.002,0.012,-411796,0.012
0.002,0.014,7.8241e+06,0.014
0.002,0.016,-1.48658e+08,0.016
0.002,0.018,2.8245e+09,0.018
0.002,0.02,-5.36655e+10,0.02
0.002,0.022,1.01964e+12,0.022
0.002,0.024,-1.93732e+13,0.024
0.002,0.026,3.68092e+14,0.026
0.002,0.028,-6.99374e+15,0.028
0.002,0.03,1.32881e+17,0.03
0.002,0.032,-2.52474e+18,0.032
0.002,0.034,4.79701e+19,0.034
0.002,0.036,-9.11431e+20,0.036
0.002,0.038,1.73172e+22,0.038
0.002,0.04,-3.29027e+23,0.04
0.002,0.042,6.25151e+24,0.042
0.002,0.044,-1.18779e+26,0.044
0.002,0.046,2.25679e+27,0.046
0.002,0.048,-4.28791e+28,0.048
0.002,0.05,8.14703e+29,0.05
0.002,0.052,-1.54794e+31,0.052
0.002,0.054,2.94108e+32,0.054
0.002,0.056,-5.58805e+33,0.056
0.002,0.058,1.06173e+35,0.058
0.002,0.06,-2.01728e+36,0.06
0.002,0.062,3.83284e+37,0.062
0.002,0.064,-7.2824e+38,0.064
0.002,0.066,1.38366e+40,0.066
0.002,0.068,-2.62895e+41,0.068
0.002,0.07,4.995e+42,0.07
0.002,0.072,-9.49049e+43,0.072
0.002,0.074,1.80319e+45,0.074
0.002,0.076,-3.42607e+46,0.076
0.002,0.078,6.50953e+47,0.078
0.002,0.08,-1.23681e+49,0.08
0.002,0.082,2.34994e+50,0.082
0.002,0.084,-4.46489e+51,0.084
0.002,0.086,8.48328e+52,0.086
0.002,0.088,-1.61182e+54,0.088
0.002,0.09,3.06247e+55,0.09
0.002,0.092,-5.81868e+56,0.092
0.002,0.094,1.10555e+58,0.094
0.002,0.096,-2.10055e+59,0.096
0.002,0.098,3.99104e+60,0.098
0.002,0.1,-7.58297e+61,0.1
0.002,0.102,1.44076e+63,0.102
0.002,0.104,-2.73745e+64,0.104
0.002,0.106,5.20116e+65,0.106
0.002,0.108,-9.8822e+66,0.108
0.002,0.11,1.87762e+68,0.11
0.002,0.112,-3.56747e+69,0.112
0.002,0.114,6.7782e+70,0.114
0.002,0.116,-1.28786e+72,0.116
0.002,0.118,2.44693e+73,0.118
0.002,0.12,-4.64917e+74,0.12
0.002,0.122,8.83342e+75,0.122
0.002,0.124,-1.67835e+77,0.124
0.002,0.126,3.18886e+78,0.126
0.002,0.128,-6.05884e+79,0.128
0.002,0.13,1.15118e+81,0.13
