tau,t,UC,timevar
0.004,0,1,0
0.004,0.004,0.32587,0.004
0.004,0.008,-0.781337,0.008
0.004,0.012,-0.808342,0.012
0.004,0.016,0.281764,0.016
0.004,0.02,0.982482,0.02
0.004,0.024,0.325443,0.024
0.004,0.028,-0.781347,0.028
0.004,0.032,-0.808342,0.032
0.004,0.036,0.281764,0.036
0.004,0.04,0.982482,0.04
0.004,0.044,0.325443,0.044
0.004,0.048,-0.781347,0.048
0.004,0.052,-0.808342,0.052
0.004,0.056,0.281764,0.056
0.004,0.06,0.982482,0.06
0.004,0.064,0.325443,0.064
0.004,0.068,-0.781347,0.068
0.004,0.072,-0.808342,0.072
0.004,0.076,0.281764,0.076
0.004,0.08,0.982482,0.08
0.004,0.084,0.325443,0.084
0.004,0.088,-0.781347,0.088
0.004,0.092,-0.808342,0.092
0.004,0.096,0.281764,0.096
0.004,0.1,0.982482,0.1
0.004,0.104,0.325443,0.104
0.004,0.108,-0.781347,0.108
0.004,0.112,-0.808342,0.112
0.004,0.116,0.281764,0.116
0.004,0.12,0.982482,0.12
0.004,0.124,0.325443,0.124
0.004,0.128,-0.781347,0.128
0.004,0.132,-0.808342,0.132
0.004,0.136,0.281764,0.136
0.004,0.14,0.982482,0.14
0.004,0.144,0.325443,0.144
0.004,0.148,-0.781347,0.148
0.004,0.152,-0.808342,0.152
0.004,0.156,0.281764,0.156
0.004,0.16,0.982482,0.16
0.004,0.164,0.325443,0.164
0.004,0.168,-0.781347,0.168
0.004,0.172,-0.808342,0.172
0.004,0.176,0.281764,0.176
0.004,0.18,0.982482,0.18
0.004,0.184,0.325443,0.184
0.004,0.188,-0.781347,0.188
0.004,0.192,-0.808342,0.192
0.004,0.196,0.281764,0.196
0.004,0.2,0.982482,0.2
0.002,0,1,0
0.002,0.002,0.818111,0.002
0.002,0.004,0.33326,0.004
0.002,0.006,-0.278432,0.006
0.002,0.008,-0.783751,0.008
0.002,0.01,-0.989702,0.01
0.002,0.012,-0.817621,0.012
0.002,0.014,-0.333236,0.014
0.002,0.016,0.278434,0.016
0.002,0.018,0.783751,0.018
0.002,0.02,0.989702,0.02
0.002,0.022,0.817621,0.022
0.002,0.024,0.333236,0.024
0.002,0.026,-0.278434,0.026
0.002,0.028,-0.783751,0.028
0.002,0.03,-0.989702,0.03
0.002,0.032,-0.817621,0.032
0.002,0.034,-0.333236,0.034
0.002,0.036,0.278434,0.036
0.002,0.038,0.783751,0.038
0.002,0.04,0.989702,0.04
0.002,0.042,0.817621,0.042
0.002,0.044,0.333236,0.044
0.002,0.046,-0.278434,0.046
0.002,0.048,-0.783751,0.048
0.002,0.05,-0.989702,0.05
0.002,0.052,-0.817621,0.052
0.002,0.054,-0.333236,0.054
0.002,0.056,0.278434,0.056
0.002,0.058,0.783751,0.058
0.002,0.06,0.989702,0.06
0.002,0.062,0.817621,0.062
0.002,0.064,0.333236,0.064
0.002,0.066,-0.278434,0.066
0.002,0.068,-0.783751,0.068
0.002,0.07,-0.989702,0.07
0.002,0.072,-0.817621,0.072
0.002,0.074,-0.333236,0.074
0.002,0.076,0.278434,0.076
0.002,0.078,0.783751,0.078
0.002,0.08,0.989702,0.08
0.002,0.082,0.817621,0.082
0.002,0.084,0.333236,0.084
0.002,0.086,-0.278434,0.086
0.002,0.088,-0.783751,0.088
0.002,0.09,-0.989702,0.09
0.002,0.092,-0.817621,0.092
0.002,0.094,-0.333236,0.094
0.002,0.096,0.278434,0.096
0.002,0.098,0.783751,0.098
0.002,0.1,0.989702,0.1
0.002,0.102,0.817621,0.102
0.002,0.104,0.333236,0.104
0.002,0.106,-0.278434,0.106
0.002,0.108,-0.783751,0.108
0.002,0.11,-0.989702,0.11
0.002,0.112,-0.817621,0.112
0.002,0.114,-0.333236,0.114
0.002,0.116,0.278434,0.116
0.002,0.118,0.783751,0.118
0.002,0.12,0.989702,0.12
0.002,0.122,0.817621,0.122
0.002,0.124,0.333236,0.124
0.002,0.126,-0.278434,0.126
0.002,0.128,-0.783751,0.128
0.002,0.13,-0.989702,0.13
0.002,0.132,-0.817621,0.132
0.002,0.134,-0.333236,0.134
0.002,0.136,0.278434,0.136
0.002,0.138,0.783751,0.138
0.002,0.14,0.989702,0.14
0.002,0.142,0.817621,0.142
0.002,0.144,0.333236,0.144
0.002,0.146,-0.278434,0.146
0.002,0.148,-0.783751,0.148
0.002,0.15,-0.989702,0.15
0.002,0.152,-0.817621,0.152
0.002,0.154,-0.333236,0.154
0.002,0.156,0.278434,0.156
0.002,0.158,0.783751,0.158
0.002,0.16,0.989702,0.16
0.002,0.162,0.817621,0.162
0.002,0.164,0.333236,0.164
0.002,0.166,-0.278434,0.166
0.002,0.168,-0.783751,0.168
0.002,0.17,-0.989702,0.17
0.002,0.172,-0.817621,0.172
0.002,0.174,-0.333236,0.174
0.002,0.176,0.278434,0.176
0.002,0.178,0.783751,0.178
0.002,0.18,0.989702,0.18
0.002,0.182,0.817621,0.182
0.002,0.184,0.333236,0.184
0.002,0.186,-0.278434,0.186
0.002,0.188,-0.783751,0.188
0.002,0.19,-0.989702,0.19
0.002,0.192,-0.817621,0.192
0.002,0.194,-0.333236,0.194
0.002,0.196,0.278434,0.196
0.002,0.198,0.783751,0.198
0.002,0.2,0.989702,0.2
0.001,0,1,0
0.001,0.001,0.955506,0.001
0.001,0.002,0.822334,0.002
0.001,0.003,0.609108,0.003
0.001,0.004,0.336298,0.004
0.001,0.005,0.0305725,0.005
0.001,0.006,-0.278145,0.006
0.001,0.007,-0.559636,0.007
0.001,0.008,-0.786346,0.008
0.001,0.009,-0.936083,0.009
0.001,0.01,-0.994189,0.01
0.001,0.011,-0.954978,0.011
0.001,0.012,-0.822286,0.012
0.001,0.013,-0.609104,0.013
0.001,0.014,-0.336298,0.014
0.001,0.015,-0.0305725,0.015
0.001,0.016,0.278145,0.016
0.001,0.017,0.559636,0.017
0.001,0.018,0.786346,0.018
0.001,0.019,0.936083,0.019
0.001,0.02,0.994189,0.02
0.001,0.021,0.954978,0.021
0.001,0.022,0.822286,0.022
0.001,0.023,0.609104,0.023
0.001,0.024,0.336298,0.024
0.001,0.025,0.0305725,0.025
0.001,0.026,-0.278145,0.026
0.001,0.027,-0.559636,0.027
0.001,0.028,-0.786346,0.028
0.001,0.029,-0.936083,0.029
0.001,0.03,-0.994189,0.03
0.001,0.031,-0.954978,0.031
0.001,0.032,-0.822286,0.032
0.001,0.033,-0.609104,0.033
0.001,0.034,-0.336298,0.034
0.001,0.035,-0.0305725,0.035
0.001,0.036,0.278145,0.036
0.001,0.037,0.559636,0.037
0.001,0.038,0.786346,0.038
0.001,0.039,0.936083,0.039
0.001,0.04,0.994189,0.04
0.001,0.041,0.954978,0.041
0.001,0.042,0.822286,0.042
0.001,0.043,0.609104,0.043
0.001,0.044,0.336298,0.044
0.001,0.045,0.0305725,0.045
0.001,0.046,-0.278145,0.046
0.001,0.047,-0.559636,0.047
0.001,0.048,-0.786346,0.048
0.001,0.049,-0.936083,0.049
0.001,0.05,-0.994189,0.05
0.001,0.051,-0.954978,0.051
0.001,0.052,-0.822286,0.052
0.001,0.053,-0.609104,0.053
0.001,0.054,-0.336298,0.054
0.001,0.055,-0.0305725,0.055
0.001,0.056,0.278145,0.056
0.001,0.057,0.559636,0.057
0.001,0.058,0.786346,0.058
0.001,0.059,0.936083,0.059
0.001,0.06,0.994189,0.06
0.001,0.061,0.954978,0.061
0.001,0.062,0.822286,0.062
0.001,0.063,0.609104,0.063
0.001,0.064,0.336298,0.064
0.001,0.065,0.0305725,0.065
0.001,0.066,-0.278145,0.066
0.001,0.067,-0.559636,0.067
0.001,0.068,-0.786346,0.068
0.001,0.069,-0.936083,0.069
0.001,0.07,-0.994189,0.07
0.001,0.071,-0.954978,0.071
0.001,0.072,-0.822286,0.072
0.001,0.073,-0.609104,0.073
0.001,0.074,-0.336298,0.074
0.001,0.075,-0.0305725,0.075
0.001,0.076,0.278145,0.076
0.001,0.077,0.559636,0.077
0.001,0.078,0.786346,0.078
0.001,0.079,0.936083,0.079
0.001,0.08,0.994189,0.08
0.001,0.081,0.954978,0.081
0.001,0.082,0.822286,0.082
0.001,0.083,0.609104,0.083
0.001,0.084,0.336298,0.084
0.001,0.085,0.0305725,0.085
0.001,0.086,-0.278145,0.086
0.001,0.087,-0.559636,0.087
0.001,0.088,-0.786346,0.088
0.001,0.089,-0.936083,0.089
0.001,0.09,-0.994189,0.09
0.001,0.091,-0.954978,0.091
0.001,0.092,-0.822286,0.092
0.001,0.093,-0.609104,0.093
0.001,0.094,-0.336298,0.094
0.001,0.095,-0.0305725,0.095
0.001,0.096,0.278145,0.096
0.001,0.097,0.559636,0.097
0.001,0.098,0.786346,0.098
0.001,0.099,0.936083,0.099
0.001,0.1,0.994189,0.1
0.001,0.101,0.954978,0.101
0.001,0.102,0.822286,0.102
0.001,0.103,0.609104,0.103
0.001,0.104,0.336298,0.104
0.001,0.105,0.0305725,0.105
0.001,0.106,-0.278145,0.106
0.001,0.107,-0.559636,0.107
